area1,"(0, 100]","(100, 200]","(200, 300]","(300, 400]"
双流,1768.0,3591.0,308.0,125.0
天府新区,360.0,2459.0,1011.0,320.0
天府新区南区,114.0,50.0,18.0,21.0
彭州,497.0,76.0,1.0,0.0
成华,2268.0,3685.0,642.0,148.0
新津,246.0,194.0,46.0,39.0
新都,2179.0,2154.0,174.0,56.0
武侯,1740.0,2859.0,1011.0,347.0
温江,1996.0,2800.0,453.0,137.0
简阳,453.0,600.0,14.0,0.0
郫都,3404.0,2728.0,189.0,72.0
都江堰,1537.0,702.0,65.0,21.0
金牛,2454.0,3191.0,750.0,166.0
锦江,1213.0,2277.0,933.0,298.0
青白江,1150.0,158.0,5.0,1.0
青羊,1598.0,2426.0,907.0,315.0
高新,1524.0,2347.0,1780.0,830.0
高新西,959.0,431.0,123.0,50.0
龙泉驿,1450.0,2320.0,327.0,112.0
