area1,"(10000, 20000]","(20000, 30000]","(30000, 40000]","(40000, 50000]","(50000, 60000]","(60000, 70000]","(70000, 80000]"
从化,744.0,85.0,1.0,0.0,0.0,0.0,0.0
南沙,175.0,360.0,17.0,2.0,0.0,1.0,0.0
增城,1417.0,2496.0,59.0,5.0,5.0,0.0,1.0
天河,5.0,220.0,1446.0,1696.0,1254.0,784.0,464.0
海珠,1.0,451.0,1529.0,1897.0,777.0,296.0,29.0
番禺,978.0,4473.0,2737.0,494.0,97.0,32.0,9.0
白云,99.0,1501.0,2169.0,661.0,133.0,42.0,12.0
花都,1534.0,528.0,39.0,3.0,1.0,0.0,0.0
荔湾,7.0,467.0,958.0,560.0,173.0,39.0,4.0
越秀,7.0,118.0,411.0,713.0,690.0,413.0,208.0
黄埔,239.0,854.0,898.0,289.0,23.0,6.0,0.0
