area1,"(100, 200]","(200, 300]","(300, 400]","(400, 500]","(500, 600]","(600, 700]","(700, 800]","(800, 900]","(900, 1000]","(1000, 1100]","(1100, 1200]","(1200, 1300]"
嘉定,587.0,950.0,613.0,324.0,177.0,90.0,55.0,28.0,33.0,17.0,9.0,11.0
奉贤,673.0,454.0,192.0,60.0,26.0,21.0,11.0,5.0,6.0,4.0,4.0,5.0
宝山,806.0,1160.0,822.0,579.0,408.0,212.0,135.0,45.0,23.0,15.0,11.0,11.0
徐汇,83.0,579.0,669.0,446.0,328.0,211.0,208.0,142.0,108.0,90.0,75.0,46.0
普陀,520.0,887.0,496.0,328.0,271.0,252.0,194.0,162.0,114.0,64.0,51.0,46.0
杨浦,462.0,889.0,502.0,290.0,220.0,194.0,210.0,158.0,77.0,49.0,34.0,32.0
松江,385.0,746.0,899.0,400.0,199.0,160.0,110.0,88.0,60.0,40.0,33.0,42.0
浦东,926.0,2767.0,2359.0,1473.0,906.0,687.0,508.0,425.0,299.0,233.0,213.0,189.0
虹口,213.0,431.0,300.0,197.0,158.0,154.0,133.0,128.0,74.0,47.0,49.0,24.0
金山,42.0,33.0,10.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
长宁,91.0,488.0,476.0,244.0,135.0,121.0,110.0,152.0,101.0,61.0,57.0,52.0
闵行,456.0,1052.0,1163.0,679.0,553.0,381.0,324.0,210.0,151.0,69.0,47.0,48.0
闸北,255.0,494.0,314.0,170.0,182.0,194.0,147.0,96.0,67.0,28.0,30.0,16.0
青浦,341.0,397.0,282.0,150.0,42.0,47.0,29.0,32.0,32.0,46.0,37.0,29.0
静安,8.0,58.0,155.0,162.0,105.0,109.0,75.0,115.0,76.0,47.0,32.0,38.0
黄浦,8.0,117.0,218.0,180.0,99.0,104.0,114.0,118.0,118.0,91.0,76.0,60.0
