area1,"(20000, 30000]","(30000, 40000]","(40000, 50000]","(50000, 60000]","(60000, 70000]","(70000, 80000]","(80000, 90000]","(90000, 100000]","(100000, 110000]"
光明区,8.0,35.0,56.0,8.0,1.0,0.0,0.0,0.0,0.0
南山区,1.0,14.0,181.0,682.0,1240.0,1244.0,982.0,608.0,404.0
坪山区,143.0,279.0,85.0,16.0,6.0,1.0,0.0,0.0,0.0
大鹏新区,81.0,98.0,11.0,6.0,3.0,3.0,0.0,0.0,0.0
宝安区,25.0,214.0,1032.0,1208.0,799.0,454.0,187.0,82.0,42.0
盐田区,17.0,292.0,364.0,180.0,49.0,19.0,6.0,3.0,2.0
福田区,3.0,44.0,370.0,1334.0,1664.0,1251.0,758.0,399.0,204.0
罗湖区,16.0,480.0,2014.0,2134.0,914.0,491.0,181.0,78.0,35.0
龙华区,20.0,281.0,1210.0,1057.0,673.0,326.0,126.0,75.0,28.0
龙岗区,719.0,4844.0,4094.0,1624.0,536.0,197.0,65.0,28.0,20.0
