area1,"(0, 10000]","(10000, 20000]","(20000, 30000]","(30000, 40000]","(40000, 50000]"
东丽,22.0,1188.0,771.0,41.0,5.0
北辰,29.0,860.0,835.0,26.0,6.0
南开,0.0,75.0,1020.0,1445.0,556.0
和平,0.0,2.0,37.0,210.0,302.0
塘沽,51.0,1047.0,216.0,27.0,0.0
宝坻,334.0,910.0,11.0,2.0,0.0
开发区,1.0,58.0,254.0,42.0,7.0
武清,312.0,1655.0,582.0,40.0,3.0
河东,0.0,241.0,1845.0,748.0,151.0
河北,0.0,175.0,1325.0,478.0,93.0
河西,1.0,31.0,651.0,1257.0,617.0
津南,115.0,829.0,548.0,111.0,21.0
海河教育园区,0.0,43.0,101.0,0.0,0.0
滨海新区,805.0,1263.0,262.0,19.0,0.0
红桥,0.0,107.0,729.0,356.0,84.0
蓟州,72.0,639.0,19.0,1.0,1.0
西青,9.0,581.0,1637.0,433.0,67.0
静海,27.0,116.0,1.0,0.0,0.0
